2026-05-02 00:17:52,747 | INFO | Приложение запущенно
2026-05-02 00:17:52,747 | INFO | Попытка входа в приложение
2026-05-02 00:18:00,833 | ERROR | Ошибка входа: неверный пароль или повреждена БД
2026-05-02 00:18:07,556 | INFO | Приложение запущенно
2026-05-02 00:18:07,557 | INFO | Попытка входа в приложение
2026-05-02 00:18:17,564 | INFO | Обновление БД
2026-05-02 00:19:21,092 | INFO | Вызод из приложения
2026-05-02 00:21:22,876 | INFO | Приложение запущенно
2026-05-02 00:21:22,876 | INFO | Попытка входа в приложение
2026-05-02 00:21:30,545 | ERROR | Ошибка входа: неверный пароль или повреждена БД
2026-05-02 00:21:34,384 | INFO | Приложение запущенно
2026-05-02 00:21:34,385 | INFO | Попытка входа в приложение
2026-05-02 00:21:42,606 | INFO | Обновление БД
2026-05-02 00:23:01,534 | INFO | Вызод из приложения
2026-05-02 00:25:21,840 | INFO | Приложение запущенно
2026-05-02 00:25:21,844 | INFO | Попытка входа в приложение
2026-05-02 00:25:29,528 | INFO | Обновление БД
2026-05-02 00:25:54,730 | INFO | Вызод из приложения
2026-05-02 00:28:36,521 | INFO | Приложение запущенно
2026-05-02 00:28:36,524 | INFO | Попытка входа в приложение
2026-05-02 00:28:44,520 | ERROR | Ошибка входа: неверный пароль или повреждена БД
2026-05-02 00:28:50,523 | INFO | Приложение запущенно
2026-05-02 00:28:50,523 | INFO | Попытка входа в приложение
2026-05-02 00:28:58,712 | INFO | Обновление БД
2026-05-02 00:29:21,244 | INFO | Выход из приложения
